日期,人民币中间价,仓位,收盘价,净值,变化比例,校准值,对冲值,ETF静态估值,ETF静态估值误差,ETF静态溢价,XBI,XBI权重,159502官方校准
2026-04-20,6.8648,100.0,1.385,,,0.0,0.0,,,,,100.0,
2026-04-17,6.8622,100.0,1.372,1.4053,2.3787%,677.1374610403471,677.1374610403471,1.4057,0.03%,-2.39%,138.67,100.0,
2026-04-16,6.8616,100.0,1.379,1.373,-0.6763%,676.9645564457393,676.9645564457393,1.3731,0.01%,0.43%,135.46,100.0,
2026-04-15,6.8582,100.0,1.369,1.3825,0.5217%,676.8906980108499,676.8906980108499,1.3828,0.02%,-1.00%,136.45,100.0,677.041013
2026-04-14,6.8593,100.0,1.332,1.3756,2.6834%,676.7550130851993,676.7550130851993,1.3754,-0.01%,-3.16%,135.72,100.0,677.040724
2026-04-13,6.8657,100.0,1.298,1.3395,2.0208%,676.8314184397165,676.8314184397165,1.3392,-0.02%,-3.08%,132.05,100.0,
2026-04-10,6.8654,100.0,1.327,1.3127,-1.7983%,676.969129275539,676.969129275539,1.3132,0.03%,1.05%,129.44,100.0,
2026-04-09,6.8649,100.0,1.318,1.3372,0.8500%,676.7358046664672,676.7358046664672,1.3361,-0.09%,-1.35%,131.82,100.0,
2026-04-08,6.868,100.0,1.349,1.3248,1.1407%,677.3129528985507,677.3129528985507,1.326,0.09%,1.74%,130.65,100.0,
2026-04-07,6.8854,100.0,1.297,1.311,-0.1230%,676.72295194508,676.72295194508,1.3115,0.04%,-1.10%,128.85,100.0,
2026-04-03,6.8929,100.0,1.303,1.314,,0.0,0.0,,,,,100.0,
2026-04-02,6.888,,1.281,1.3131,,0.0,0.0,,,,128.96,,
2026-04-01,6.9025,,1.311,1.3107,,0.0,0.0,,,,128.55,,
2026-03-31,6.9194,,1.227,1.3056,,0.0,0.0,,,,127.73,,
2026-03-30,6.9223,,1.228,1.2157,,0.0,0.0,,,,118.78,,
2026-03-27,6.9141,,1.269,1.2219,,0.0,0.0,,,,119.59,,
2026-03-26,6.9056,,1.25,1.2647,,0.0,0.0,,,,123.9,,
2026-03-25,6.8911,,1.232,1.2617,,0.0,0.0,,,,123.92,,
2026-03-24,6.8943,,1.23,1.2182,,0.0,0.0,,,,119.54,,
2026-03-23,6.9041,,1.21,1.2424,,0.0,0.0,,,,121.7,,
2026-03-20,6.8898,,1.245,1.2256,,0.0,0.0,,,,120.31,,
2026-03-19,6.8975,,1.234,1.2478,,0.0,0.0,,,,122.33,,
2026-03-18,6.8909,,1.266,1.2341,,0.0,0.0,,,,121.11,,
2026-03-17,6.8961,,1.249,1.2663,,0.0,0.0,,,,124.19,,
2026-03-16,6.9057,,1.261,1.2648,,0.0,0.0,,,,123.91,,
2026-03-13,6.9007,,1.257,,,0.0,0.0,,,,121.83,,
2026-03-12,6.8959,,1.271,,,0.0,0.0,,,,122.62,,
2026-03-11,6.8917,,1.289,,,0.0,0.0,,,,126.38,,
2026-03-10,6.8982,,1.286,,,0.0,0.0,,,,127.43,,
2026-03-09,6.9158,,1.248,,,0.0,0.0,,,,127.12,,
2026-03-06,6.9025,,1.27,,,0.0,0.0,,,,124.0,,
2026-03-05,6.9007,,1.278,,,0.0,0.0,,,,123.9,,
2026-03-04,6.9124,,1.251,,,0.0,0.0,,,,126.42,,
2026-03-03,6.9088,,1.274,,,0.0,0.0,,,,123.5,,
2026-03-02,6.9236,,,,,0.0,0.0,,,,,,
2026-02-27,6.9228,,,,,0.0,0.0,,,,,,
2026-02-26,6.9228,,,,,0.0,0.0,,,,,,
2026-02-25,6.9321,,,,,0.0,0.0,,,,,,
2026-02-24,6.9414,,,,,0.0,0.0,,,,,,
2026-02-13,6.9398,,,,,0.0,0.0,,,,,,
2026-02-12,6.9457,,,,,0.0,0.0,,,,,,
2026-02-11,6.9438,,,,,0.0,0.0,,,,,,
2026-02-10,6.9458,,,,,0.0,0.0,,,,,,
2026-02-09,6.9523,,,,,0.0,0.0,,,,,,
2026-02-06,6.959,,,,,0.0,0.0,,,,,,
2026-02-05,6.957,,,,,0.0,0.0,,,,,,
2026-02-04,6.9533,,,,,0.0,0.0,,,,,,
2026-02-03,6.9608,,,,,0.0,0.0,,,,,,
2026-02-02,6.9695,,,,,0.0,0.0,,,,,,
2026-01-30,6.9678,,,,,0.0,0.0,,,,,,
2026-01-29,6.9771,,,,,0.0,0.0,,,,,,
2026-01-28,6.9755,,,,,0.0,0.0,,,,,,
2026-01-27,6.9858,,,,,0.0,0.0,,,,,,
2026-01-26,6.9843,,,,,0.0,0.0,,,,,,
2026-01-23,6.9929,,,,,0.0,0.0,,,,,,
2026-01-22,7.0019,,,,,0.0,0.0,,,,,,
2026-01-21,7.0014,,,,,0.0,0.0,,,,,,
2026-01-20,7.0006,,,,,0.0,0.0,,,,,,
2026-01-19,,,,,,0.0,0.0,,,,,,
2026-01-16,7.0078,,,,,0.0,0.0,,,,,,
2026-01-15,7.0064,,,,,0.0,0.0,,,,,,
2026-01-14,7.012,,,,,0.0,0.0,,,,,,
2026-01-13,7.0103,,,,,0.0,0.0,,,,,,
2026-01-12,7.0108,,,,,0.0,0.0,,,,,,
2026-01-09,7.0128,,,,,0.0,0.0,,,,,,
2026-01-08,7.0197,,,,,0.0,0.0,,,,,,
2026-01-07,7.0187,,,,,0.0,0.0,,,,,,
2026-01-06,7.0173,,,,,0.0,0.0,,,,,,
2026-01-05,7.023,,,,,0.0,0.0,,,,,,
