日期,人民币中间价,仓位,收盘价,净值,变化比例,校准值,对冲值,ETF静态估值,ETF静态估值误差,ETF静态溢价,XOP,XOP权重,162411官方校准
2026-04-20,6.8648,95.0,0.868,,,0.0,0.0,,,,,100.0,
2026-04-17,6.8622,95.0,0.883,0.8557,-4.5943%,1280.6178777608973,1348.0188186956814,0.8561,0.04%,3.15%,159.69,100.0,
2026-04-16,6.8616,95.0,0.87,0.8973,2.1070%,1283.3096088264795,1350.8522198173468,0.8969,-0.04%,-3.00%,167.82,100.0,
2026-04-15,6.8582,95.0,0.867,0.8784,0.4730%,1282.4771539162114,1349.975951490749,0.8786,0.03%,-1.32%,164.26,100.0,1282.299125
2026-04-14,6.8593,95.0,0.898,0.8745,-3.0537%,1281.8145294453973,1349.2784520477867,0.8748,0.04%,2.65%,163.42,100.0,1281.944735
2026-04-13,6.8657,95.0,0.924,0.9024,0.1339%,1283.4385339095745,1350.9879304311312,0.9019,-0.05%,2.45%,168.69,100.0,1283.965034
2026-04-10,6.8654,95.0,0.906,0.9007,0.4033%,1284.051608748751,1351.6332723671064,0.9008,0.01%,0.58%,168.46,100.0,1283.965034
2026-04-09,6.8649,95.0,0.94,0.8972,-2.2165%,1283.6108158716004,1351.1692798648426,0.8973,0.01%,4.76%,167.76,100.0,1283.450938
2026-04-08,6.868,95.0,0.905,0.9176,-4.7852%,1285.0554925893637,1352.6899921993302,0.9183,0.07%,-1.44%,171.69,100.0,1283.450938
2026-04-07,6.8854,95.0,0.998,0.9644,1.3641%,1287.5498092077974,1355.3155886397867,0.9644,-0.00%,3.49%,180.34,100.0,1284.658749
2026-04-03,6.8929,95.0,0.986,0.9521,,0.0,0.0,,,,,100.0,
2026-04-02,6.888,,1.019,0.9514,,0.0,0.0,,,,177.72,,1286.870785
2026-04-01,6.9025,,0.986,0.9386,,0.0,0.0,,,,174.85,,1285.8719
2026-03-31,6.9194,,1.095,0.9761,,0.0,0.0,,,,181.83,,1288.7147
2026-03-30,6.9223,,1.142,0.9956,,0.0,0.0,,,,185.48,,1289.9326
2026-03-27,6.9141,,1.038,1.0082,,0.0,0.0,,,,188.18,,1290.5995
2026-03-26,6.9056,,0.999,0.9923,,0.0,0.0,,,,185.32,,1289.432
2026-03-25,6.8911,,0.951,0.9714,,0.0,0.0,,,,181.62,,1288.0753
2026-03-24,6.8943,,0.947,0.965,,0.0,0.0,,,,180.24,,1287.5767
2026-03-23,6.9041,,0.983,0.9394,,0.0,0.0,,,,174.87,,1285.6435
2026-03-20,6.8898,,0.923,0.9451,,0.0,0.0,,,,177.12,,1275.0
2026-03-19,6.8975,,0.917,0.9366,,0.0,0.0,,,,175.04,,1289.1881
2026-03-18,6.8909,,0.894,0.9261,,0.0,0.0,,,,173.36,,1289.6148
2026-03-17,6.8961,,0.899,0.9108,,0.0,0.0,,,,170.08,,1287.534
2026-03-16,6.9057,,0.895,0.898,,0.0,0.0,,,,167.37,,1286.558
2026-03-13,6.9007,,0.885,,,0.0,0.0,,,,167.89,,1286.4298
2026-03-12,6.8959,,0.88,,,0.0,0.0,,,,166.71,,1285.6573
2026-03-11,6.8917,,0.859,,,0.0,0.0,,,,164.69,,1285.0824
2026-03-10,6.8982,,0.856,,,0.0,0.0,,,,159.0,,1282.3764
2026-03-09,6.9158,,0.905,,,0.0,0.0,,,,161.82,,1284.5182
2026-03-06,6.9025,,0.881,,,0.0,0.0,,,,164.13,,1285.2105
2026-03-05,6.9007,,0.885,,,0.0,0.0,,,,163.82,,1284.9552
2026-03-04,6.9124,,0.91,,,0.0,0.0,,,,160.77,,1281.285
2026-03-03,6.9088,,0.974,,,0.0,0.0,,,,158.99,,1279.5107
2026-03-02,6.9236,,0.898,,,0.0,0.0,,,,,,1280.3825
2026-02-27,6.9228,,,,,0.0,0.0,,,,,,1277.4216
2026-02-26,6.9228,,,,,0.0,0.0,,,,,,1274.4934
2026-02-25,6.9321,,,,,0.0,0.0,,,,,,1273.7768
2026-02-24,6.9414,,,,,0.0,0.0,,,,,,1275.1498
2026-02-13,6.9398,,,,,0.0,0.0,,,,,,1273.8565
2026-02-12,6.9457,,,,,0.0,0.0,,,,,,1271.9735
2026-02-11,6.9438,,,,,0.0,0.0,,,,,,1274.5407
2026-02-10,6.9458,,,,,0.0,0.0,,,,,,1273.0457
2026-02-09,6.9523,,,,,0.0,0.0,,,,,,1273.3781
2026-02-06,6.959,,,,,0.0,0.0,,,,,,1273.3908
2026-02-05,6.957,,,,,0.0,0.0,,,,,,1271.1442
2026-02-04,6.9533,,,,,0.0,0.0,,,,,,1272.0153
2026-02-03,6.9608,,,,,0.0,0.0,,,,,,1270.4719
2026-02-02,6.9695,,,,,0.0,0.0,,,,,,1268.111
2026-01-30,6.9678,,,,,0.0,0.0,,,,,,1271.7079
2026-01-29,6.9771,,,,,0.0,0.0,,,,,,1271.797
2026-01-28,6.9755,,,,,0.0,0.0,,,,,,1269.7346
2026-01-27,6.9858,,,,,0.0,0.0,,,,,,1268.7032
2026-01-26,6.9843,,,,,0.0,0.0,,,,,,1268.3353
2026-01-23,6.9929,,,,,0.0,0.0,,,,,,1268.4326
2026-01-22,7.0019,,,,,0.0,0.0,,,,,,1268.0764
2026-01-21,7.0014,,,,,0.0,0.0,,,,,,1268.089
2026-01-20,7.0006,,,,,0.0,0.0,,,,,,1265.4952
2026-01-19,,,,,,0.0,0.0,,,,,,
2026-01-16,7.0078,,,,,0.0,0.0,,,,,,1265.7187
2026-01-15,7.0064,,,,,0.0,0.0,,,,,,1265.6039
2026-01-14,7.012,,,,,0.0,0.0,,,,,,1266.5773
2026-01-13,7.0103,,,,,0.0,0.0,,,,,,1265.4869
2026-01-12,7.0108,,,,,0.0,0.0,,,,,,1264.2932
2026-01-09,7.0128,,,,,0.0,0.0,,,,,,1263.8285
2026-01-08,7.0197,,,,,0.0,0.0,,,,,,1264.4989
2026-01-07,7.0187,,,,,0.0,0.0,,,,,,1261.6711
2026-01-06,7.0173,,,,,0.0,0.0,,,,,,1262.7731
2026-01-05,7.023,,,,,0.0,0.0,,,,,,1263.8852
