日期,人民币中间价,仓位,收盘价,净值,变化比例,ETF静态估值,ETF静态估值误差,ETF静态溢价,GLD,GLD权重,USO,USO权重,校准值,对冲值,期货结算价,期货静态估值,期货静态估值误差,期货静态估值溢价
2026-01-21,7.0014,,,,,,,,443.6,,73.34,,0.0,0.0,,,,
2026-01-20,7.0006,,,,,,,,437.23,,71.86,,0.0,0.0,,,,
2026-01-19,,,,,,,,,,,,,0.0,0.0,,,,
2026-01-16,7.0078,,,,,,,,421.29,,71.65,,0.0,0.0,,,,
2026-01-15,7.0064,,,,,,,,423.33,,71.13,,0.0,0.0,,,,
2026-01-14,7.012,,,,,,,,425.94,,72.61,,0.0,0.0,,,,
2026-01-13,7.0103,,,,,,,,421.63,,73.48,,0.0,0.0,,,,
2026-01-12,7.0108,,,,,,,,422.23,,71.65,,0.0,0.0,,,,
2026-01-09,7.0128,,,,,,,,414.47,,70.78,,0.0,0.0,,,,
2026-01-08,7.0197,,,,,,,,411.49,,70.54,,0.0,0.0,,,,
2026-01-07,7.0187,,,,,,,,409.23,,67.79,,0.0,0.0,,,,
2026-01-06,7.0173,,,,,,,,413.18,,68.51,,0.0,0.0,,,,
2026-01-05,7.023,,,,,,,,408.76,,70.22,,0.0,0.0,,,,
