日期,人民币中间价,仓位,收盘价,净值,变化比例,校准值,对冲值,ETF静态估值,ETF静态估值误差,ETF静态溢价,XOP,XOP权重,159518官方校准
2026-04-20,6.8648,100.0,1.168,,,0.0,0.0,,,,,100.0,
2026-04-17,6.8622,100.0,1.186,1.0886,-4.8362%,1006.6367058607384,1006.6367058607384,1.0887,0.01%,8.94%,159.69,100.0,
2026-04-16,6.8616,100.0,1.195,1.144,2.2179%,1006.5679300699301,1006.5679300699301,1.1436,-0.03%,4.49%,167.82,100.0,
2026-04-15,6.8582,100.0,1.202,1.1188,0.4979%,1006.9073400071504,1006.9073400071504,1.1191,0.03%,7.40%,164.26,100.0,1006.767565
2026-04-14,6.8593,100.0,1.245,1.1136,-3.2144%,1006.597347341954,1006.597347341954,1.1139,0.03%,11.77%,163.42,100.0,1006.699596
2026-04-13,6.8657,100.0,1.284,1.1509,0.1409%,1006.3210817620992,1006.3210817620992,1.1502,-0.06%,11.63%,168.69,100.0,
2026-04-10,6.8654,100.0,1.237,1.1486,0.4246%,1006.9173637471705,1006.9173637471705,1.1488,0.01%,7.68%,168.46,100.0,
2026-04-09,6.8649,100.0,1.267,1.1439,-2.3331%,1006.7799842643586,1006.7799842643586,1.1437,-0.02%,10.78%,167.76,100.0,
2026-04-08,6.868,100.0,1.227,1.171,-5.0371%,1006.9743125533732,1006.9743125533732,1.1715,0.04%,4.74%,171.69,100.0,
2026-04-07,6.8854,100.0,1.363,1.2336,1.4359%,1006.5767153047989,1006.5767153047989,1.2337,0.01%,10.48%,180.34,100.0,
2026-04-03,6.8929,100.0,1.348,1.2171,,0.0,0.0,,,,,100.0,
2026-04-02,6.888,,1.372,1.2162,,0.0,0.0,,,,177.72,,
2026-04-01,6.9025,,1.295,1.199,,0.0,0.0,,,,174.85,,
2026-03-31,6.9194,,1.435,1.2496,,0.0,0.0,,,,181.83,,
2026-03-30,6.9223,,1.516,1.2758,,0.0,0.0,,,,185.48,,
2026-03-27,6.9141,,1.449,1.2927,,0.0,0.0,,,,188.18,,
2026-03-26,6.9056,,1.418,1.2712,,0.0,0.0,,,,185.32,,
2026-03-25,6.8911,,1.33,1.2432,,0.0,0.0,,,,181.62,,
2026-03-24,6.8943,,1.44,1.2346,,0.0,0.0,,,,180.24,,
2026-03-23,6.9041,,1.428,1.2002,,0.0,0.0,,,,174.87,,
2026-03-20,6.8898,,1.298,1.2073,,0.0,0.0,,,,177.12,,
2026-03-19,6.8975,,1.287,1.1952,,0.0,0.0,,,,175.04,,
2026-03-18,6.8909,,1.17,1.1822,,0.0,0.0,,,,173.36,,
2026-03-17,6.8961,,1.188,1.1608,,0.0,0.0,,,,170.08,,
2026-03-16,6.9057,,1.191,1.1438,,0.0,0.0,,,,167.37,,
2026-03-13,6.9007,,1.181,,,0.0,0.0,,,,167.89,,
2026-03-12,6.8959,,1.165,,,0.0,0.0,,,,166.71,,
2026-03-11,6.8917,,1.134,,,0.0,0.0,,,,164.69,,
2026-03-10,6.8982,,1.158,,,0.0,0.0,,,,159.0,,
2026-03-09,6.9158,,1.26,,,0.0,0.0,,,,161.82,,
2026-03-06,6.9025,,1.186,,,0.0,0.0,,,,164.13,,
2026-03-05,6.9007,,1.179,,,0.0,0.0,,,,163.82,,
2026-03-04,6.9124,,1.201,,,0.0,0.0,,,,160.77,,
2026-03-03,6.9088,,1.274,,,0.0,0.0,,,,158.99,,
2026-03-02,6.9236,,,,,0.0,0.0,,,,,,
2026-02-27,6.9228,,,,,0.0,0.0,,,,,,
2026-02-26,6.9228,,,,,0.0,0.0,,,,,,
2026-02-25,6.9321,,,,,0.0,0.0,,,,,,
2026-02-24,6.9414,,,,,0.0,0.0,,,,,,
2026-02-13,6.9398,,,,,0.0,0.0,,,,,,
2026-02-12,6.9457,,,,,0.0,0.0,,,,,,
2026-02-11,6.9438,,,,,0.0,0.0,,,,,,
2026-02-10,6.9458,,,,,0.0,0.0,,,,,,
2026-02-09,6.9523,,,,,0.0,0.0,,,,,,
2026-02-06,6.959,,,,,0.0,0.0,,,,,,
2026-02-05,6.957,,,,,0.0,0.0,,,,,,
2026-02-04,6.9533,,,,,0.0,0.0,,,,,,
2026-02-03,6.9608,,,,,0.0,0.0,,,,,,
2026-02-02,6.9695,,,,,0.0,0.0,,,,,,
2026-01-30,6.9678,,,,,0.0,0.0,,,,,,
2026-01-29,6.9771,,,,,0.0,0.0,,,,,,
2026-01-28,6.9755,,,,,0.0,0.0,,,,,,
2026-01-27,6.9858,,,,,0.0,0.0,,,,,,
2026-01-26,6.9843,,,,,0.0,0.0,,,,,,
2026-01-23,6.9929,,,,,0.0,0.0,,,,,,
2026-01-22,7.0019,,,,,0.0,0.0,,,,,,
2026-01-21,7.0014,,,,,0.0,0.0,,,,,,
2026-01-20,7.0006,,,,,0.0,0.0,,,,,,
2026-01-19,,,,,,0.0,0.0,,,,,,
2026-01-16,7.0078,,,,,0.0,0.0,,,,,,
2026-01-15,7.0064,,,,,0.0,0.0,,,,,,
2026-01-14,7.012,,,,,0.0,0.0,,,,,,
2026-01-13,7.0103,,,,,0.0,0.0,,,,,,
2026-01-12,7.0108,,,,,0.0,0.0,,,,,,
2026-01-09,7.0128,,,,,0.0,0.0,,,,,,
2026-01-08,7.0197,,,,,0.0,0.0,,,,,,
2026-01-07,7.0187,,,,,0.0,0.0,,,,,,
2026-01-06,7.0173,,,,,0.0,0.0,,,,,,
2026-01-05,7.023,,,,,0.0,0.0,,,,,,
