日期,人民币中间价,仓位,收盘价,净值,变化比例,校准值,对冲值,ETF静态估值,ETF静态估值误差,ETF静态溢价,GLD,GLD权重,USO,USO权重,黄金期货校准
2026-01-29,6.9771,,,,,0.0,0.0,,,,495.9,,79.14,,10.9624
2026-01-28,6.9755,,,,,0.0,0.0,,,,494.56,,76.62,,10.9624
2026-01-27,6.9858,,,,,0.0,0.0,,,,476.1,,75.66,,10.9624
2026-01-26,6.9843,,,,,0.0,0.0,,,,464.7,,73.48,,10.9624
2026-01-23,6.9929,,,,,0.0,0.0,,,,458.0,,73.95,,10.9624
2026-01-22,7.0019,,,,,0.0,0.0,,,,451.79,,71.82,,10.9624
2026-01-21,7.0014,,,,,0.0,0.0,,,,443.6,,73.34,,10.9624
2026-01-20,7.0006,,,,,0.0,0.0,,,,437.23,,71.86,,10.9624
2026-01-19,,,,,,0.0,0.0,,,,,,,,
2026-01-16,7.0078,,,,,0.0,0.0,,,,421.29,,71.65,,10.9624
2026-01-15,7.0064,,,,,0.0,0.0,,,,423.33,,71.13,,10.9624
2026-01-14,7.012,,,,,0.0,0.0,,,,425.94,,72.61,,10.9624
2026-01-13,7.0103,,,,,0.0,0.0,,,,421.63,,73.48,,10.9624
2026-01-12,7.0108,,,,,0.0,0.0,,,,422.23,,71.65,,10.9624
2026-01-09,7.0128,,,,,0.0,0.0,,,,414.47,,70.78,,10.9624
2026-01-08,7.0197,,,,,0.0,0.0,,,,411.49,,70.54,,10.9624
2026-01-07,7.0187,,,,,0.0,0.0,,,,409.23,,67.79,,10.9624
2026-01-06,7.0173,,,,,0.0,0.0,,,,413.18,,68.51,,10.9624
2026-01-05,7.023,,,,,0.0,0.0,,,,408.76,,70.22,,10.9624
