日期,人民币中间价,仓位,收盘价,净值,变化比例,ETF静态估值,ETF静态估值误差,ETF静态溢价,GLD,GLD权重,^GLD-EU,^GLD-EU权重,校准值,对冲值,期货结算价,期货静态估值,期货静态估值误差,期货静态估值溢价,黄金期货校准
2026-04-20,6.8648,95.0,2.148,,,,,,,57.0,,43.0,0.0,0.0,,,,,10.9349
2026-04-17,6.8622,95.0,2.149,2.194,1.3042%,2.1932,-0.03%,-2.02%,445.93,57.0,447.34,43.0,1396.636917894257,1470.144124099218,4879.6,2.1957,0.08%,-2.13%,
2026-04-16,6.8616,95.0,2.161,2.165,0.0449%,2.167,0.09%,-0.28%,440.08,57.0,441.12,43.0,1396.1761826882216,1469.6591396718122,4808.3,2.1605,-0.21%,0.02%,10.9362
2026-04-15,6.8582,95.0,2.154,2.166,-0.6672%,2.1655,-0.03%,-0.53%,440.46,57.0,440.64,43.0,1394.872389972299,1468.2867262866307,4823.6,2.1684,0.11%,-0.66%,10.933
2026-04-14,6.8593,95.0,2.141,2.18,2.0207%,2.1802,0.01%,-1.80%,445.09,57.0,441.6,43.0,1395.7394887568805,1469.199461849348,4850.1,2.1703,-0.45%,-1.35%,10.9425
2026-04-13,6.8657,95.0,2.123,2.137,-0.8435%,2.1378,0.04%,-0.69%,435.36,57.0,432.07,43.0,1394.1685756715021,1467.545869127897,4767.4,2.1475,0.49%,-1.14%,10.9467
2026-04-10,6.8654,95.0,2.133,2.156,-0.1016%,2.1568,0.04%,-1.10%,437.13,57.0,438.82,43.0,1394.2770817161406,1467.6600860169901,4787.4,2.1461,-0.46%,-0.61%,10.9451
2026-04-09,6.8649,95.0,2.124,2.159,0.6186%,2.1593,0.01%,-1.63%,437.91,57.0,438.95,43.0,1393.8297092542844,1467.1891676360888,4818.0,2.1625,0.16%,-1.78%,10.9496
2026-04-08,6.868,100.0,2.17,2.146,0.9831%,2.1429,-0.15%,1.27%,434.53,57.0,436.38,43.0,1393.2038835041935,1393.2038835041935,4777.2,2.1584,0.58%,0.54%,10.9381
2026-04-07,6.8854,100.0,2.101,2.122,0.1240%,2.1256,0.17%,-1.16%,431.81,57.0,427.63,43.0,1395.2915909707822,1395.2915909707822,4684.7,2.1245,0.12%,-1.10%,10.9457
2026-04-03,6.8929,100.0,2.101,2.124,,,,,,57.0,,43.0,0.0,0.0,,,,,10.9317
2026-04-02,6.888,100.0,2.085,2.123,-2.1921%,2.1224,-0.03%,-1.76%,429.41,57.0,429.2,43.0,1392.9129032501178,1392.9129032501178,4679.7,2.1054,-0.83%,-0.97%,10.9561
